Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
DR28炸,DR28炸,上電偶發無顯示,上電偶發無顯示,IGBT控制側PIN20(COM)對PIN18(VFO)低阻抗,IGBT控制側PIN20(COM)對PIN18(VFO)低阻抗
"DR28軟啓燒壞,PIN焊錫不良","DR28軟啓燒毀,PIN焊錫不良",上電帶馬達報11,上電後報AL011,IGBT短路,IGBT SHORT
"DR28開路,DRLY1損壞","DR28開路,DRLY1損壞",上電帶馬達運行一段時間死機,上電死機狀態,IGBT虛焊,IGBT虛焊
"DR28開路,DRLY1燙傷","DR28開路,DRLY1燙傷",上電報：ALC31,上電後報ALC31,IGBT損壞,IGBT損壞
DR28過熱,DR28過熱,"上電報006,後報警085","上電後報006,後報警AL085",IGBT損壞，DD22整流子損壞，DR300電阻燒，DPH7光耦炸,"IGBT損壞,DD22整流子損壞,DR300電阻燒,DPH7光耦炸裂"
"DR28過熱,回生電阻燒","DR28過熱,回生電阻燒毀","上電報011,一小段時間後報警085","上電後報011,後報警AL085",IGBT損壞，DR58炸,"IGBT損壞,DR58炸裂"
"DR28過熱,伺服功能正常","DR28過熱,伺服功能正常",上電報AL001,上電後報AL001,IGBT損壞，DR58炸，DQ2擊穿,"IGBT損壞,DR58炸裂,DQ2擊穿"
"DR28過熱有裂痕,Relay微熔","DR28過熱有裂痕,Relay微熔",上電報AL001,上電報警AL001,IGBT過流損壞,IGBT損壞
DR28燒,DR28燒毀,上電報AL006,上電後報AL006,IGBT漏焊,IGBT漏焊
"DR28燒,剎車晶體DQ2擊穿,回聲電阻Open","DR28燒毀,剎車晶體DQ2擊穿,回聲電阻OPEN",上電報ALC31,上電報警ALC31,IGBT擊穿,IGBT擊穿
"DR28燒毀,U對Popen,V,W上下橋均被擊穿。","DR28燒毀,U對POPEN,V,W上下橋均被擊穿。",上電報錯RL001,上電後報AL001,IGBT擊穿 U對P相擊穿,"IGBT擊穿,U對P相擊穿"
DR28燒壞,DR28燒毀,"上電報警,RL016,IGBT過熱",上電後報AL016,IGBT擊穿，C/B無顯示,"IGBT擊穿,C/B無顯示"
"DR28燒壞,DR58有打火痕跡,且阻抗值變大8.4Ω,IGBT炸","DR28燒毀,DR58有打火痕跡,且阻抗值變大8.4Ω,IGBT炸",上電報警06,上電報警AL001,"IGBT擊穿，DD22,DD23擊穿","IGBT擊穿,DD22,DD23擊穿"
"DR28斷,散熱片外殼損壞","DR28斷,散熱片外殼損壞",上電報警06 緊接著報85,"上電報警AL003,BUS電壓偵測异常,潤焊DPH16後回復正常",IGBT擊穿，DD22擊穿，DR28燒，DZD8擊穿，DVAR1PIN斷,"IGBT擊穿,DD22擊穿,DR28燒,DZD8擊穿,DVAR1PIN斷"
DR30燒壞,DR30燒毀,上電報警09F,上電後報AL09F,"IGBT擊穿,DD22擊穿，控制板無顯示燒黑，電源板RST端子PIN燒壞","IGBT擊穿,DD22擊穿,控制板無顯示燒黑,電源板RST端子PIN燒毀"
"DR39,DD13噴膠前掉件","DR39,DD13噴膠前掉件",上電報警09F,上電報警AL006,IGBT擊穿，DR28燒,"IGBT擊穿,DR28燒毀"
"DR42炸,DD22擊穿,IGBT炸,軟起電阻燒壞","DR42炸,DD22擊穿,IGBT炸,軟起電阻燒毀",上電報警22,"上電報警AL006,電源板DR78偏移漏焊",IGBT擊穿，DR58擊穿，,"IGBT擊穿,DR58擊穿"
"DR42炸,IGBT炸,V BUS電壓偵測異常,5VD_GD短路","DR42炸,IGBT炸,V,BUS電壓偵測異常,5VD_GD SHORT",上電報警al001,上電後報AL001,IGBT擊穿，DR58擊穿，DD22擊穿,"IGBT擊穿,DR58擊穿,DD22擊穿"
DR42損壞IGBT炸,"DR42損壞,IGBT炸",上電報警AL001,上電報警AL001,"IGBT擊穿,R相端子螺絲滑牙，端子蓋脫落","IGBT擊穿,R相端子螺絲滑牙,端子蓋脫落"
"DR45炸,DD22,DD23擊穿,IGBT com對PIN5短路,P對W短路","DR45炸,DD22,DD23擊穿,IGBT,com對PIN5 SHORT,P對W SHORT","上電報警AL003,BUS電壓偵測异常,潤焊DPH16後回復正常","上電報警AL003,BUS電壓偵測异常,潤焊DPH16後回復正常",IGBT擊穿，有污染,"IGBT擊穿,有污染"
"DR45炸,IGBT炸","DR45炸,IGBT炸",上電報警AL006,上電後報AL006,"IGBT擊穿，軟起電阻炸,RELAY燒","IGBT擊穿,軟起電阻炸裂,RELAY燒"
DR53損壞,DR53損壞,上電報警AL006,上電報警AL006,IGBT擊穿，軟起電阻開路,"IGBT擊穿,軟起電阻開路"
DR57 open,"DR57,OPEN","上電報警AL006,電源板DR78偏移漏焊","上電報警AL006,電源板DR78偏移漏焊","IGBT擊穿,軟起電阻燒壞","IGBT擊穿,軟起電阻燒毀"
DR57維修飛件,DR57維修飛件,上電報警AL011,上電報警AL011,"IGBT擊穿、DD23整流子擊穿、DVAR1,DVAR2打火","IGBT擊穿,DD23整流子擊穿,DVAR1,DVAR2打火"
"DR58 open,IGBT UV對N擊穿","DR58,OPEN,IGBT,UV對N擊穿",上電報警AL016,上電報警AL016,IGBT鎖裂,IGBT鎖裂
"DR58,DR42炸,DD22擊穿,IGBT炸,軟起電阻燒壞","DR58,DR42炸,DD22擊穿,IGBT炸,軟起電阻燒毀",上電報警AL031 需要檢測報告,上電後報AL031,inverter炸、DR58炸,"inverter炸,DR58炸"
"DR58-OPEN,DD22擊穿,IGBT擊穿","DR58,OPEN,DD22擊穿,IGBT擊穿",上電報警AL085,上電後報AL085,IPM擊穿,IPM擊穿
"DR58和DR45炸,軟起電阻DR28燒,IGBT炸","DR58和DR45炸,軟起電阻DR28燒毀,IGBT炸",上電報警AL085,上電報警AL085,J10 17PIN退PIN,J10 17PIN退PIN
"DR58阻抗值變大,本體存在跳火痕跡,IGBT UVW對N short,剎車晶體C-E量測219kohm,異常正常應為Mohm,軟啟電阻燒壞,relay受熱外殼熱熔","DR58阻抗值變大,本體存在跳火痕跡,IGBT,UVW對N,SHORT,剎車晶體C-E量測219kohm,異常正常應為Mohm,軟啟電阻燒毀,relay受熱外殼熱熔",上電報警AL09C,上電報警AL09C,J10 PIN1退PIN導致第1位A管子缺筆畫,J10 PIN1退PIN導致第1位A管子缺筆劃
"DR58阻抗值變大,本體存在跳火痕跡,IGBT UVW對N short,銅箔翹起","DR58阻抗值變大,本體存在跳火痕跡,IGBT,UVW對N,SHORT,銅箔翹起",上電報警AL09F,上電後報AL09F,J10 PIN4與PIN 6短路,J10 PIN4與PIN 6SHORT
DR58炸,DR58炸,上電報警CDB,上電後報警CDB,J10 退PIN導致七段顯示器缺筆畫,J10 退PIN導致+F521段顯示器缺筆劃
"DR58炸,DC45燒,IGBT炸,整流子DD22擊穿,DU2,DU5擊穿","DR58炸,DC45燒毀,IGBT炸,整流子DD22擊穿,DU2,DU5擊穿",上電報警過電流AL006,上電後報AL006,J10 退PIN導致第1組七段顯示器A管子缺筆畫,J10 退PIN導致第1組7段顯示器A管子缺筆劃
"DR58炸,DQ2擊穿,DR66燒,IGBT炸,DU2、DU5、DZD9擊穿","DR58炸,DQ2擊穿,DR66燒毀,IGBT炸,DU2,DU5,DZD9擊穿",上電就冒烟了,上電後異常,J10 焊錫不良導致缺筆畫,J10 焊錫不良導致筆劃
"DR58炸,DR28燒,IGBT炸","DR58炸,DR28燒毀,IGBT炸",上電就報001,上電後報AL001,J10外力損壞斷線,J10外力損壞斷線
"DR58炸,DR300、DR37燒,DQ2擊穿,軟起DR28燒,Relay不吸合,IGBT炸,DU2、DU5、DZD9擊穿","DR58炸,DR300,DR37燒毀,DQ2擊穿,軟起DR28燒毀,Relay不吸合,IGBT炸,DU2,DU5,DZD9擊穿",上電無反應,上電無顯示,J10脫落，U43擊穿,"J10脫落,U43擊穿"
"DR58炸,DR300、DR37燒,DQ2擊穿,軟起DR58燒,P綫燒,Relay不吸合,IGBT炸、DU2和DZD9擊穿","DR58炸,DR300,DR37燒毀,DQ2擊穿,軟起DR58燒毀,P綫燒毀,Relay不吸合,IGBT炸,DU2和DZD9擊穿",上電無顯示,上電無顯示,"J10連同銅箔脫落,七段顯示有被撞的痕跡","J10連同銅箔脫落,7段顯示有被撞的痕跡"
"DR58炸,DR300、DR37燒,IGBT炸,DU2擊穿","DR58炸,DR300,DR37燒毀,IGBT炸,DU2擊穿","上電無顯示,3.3V對GND短路,控制板U2燒","上電無顯示,3.3V對GND短路,控制板U2燒","J10連同銅箔脫落,七段顯示有被撞壓的痕跡，USB口變形","J10連同銅箔脫落,7段顯示有被撞的痕跡,USB口變形"
"DR58炸,DR300、DR57、DC64燒,IGBT炸,DU2和DU5擊穿,DR49燒","DR58炸,DR300,DR57,DC64燒毀,IGBT炸,DU2和DU5擊穿,DR49燒毀","上電無顯示,DSP3.3V月1.2V短路","上電無顯示,DSP3.3V月1.2V短路",J10端子16PIN漏焊,J10端子16PIN漏焊
"DR58炸,DR300燒,IGBT炸,DU2、DU5和DZD9擊穿","DR58炸,DR300燒毀,IGBT炸,DU2,DU5和DZD9擊穿","上電無顯示,U37受到腐蝕","上電無顯示,U37受到腐蝕",J10槽內有异物,J10槽內異物
"DR58炸,DR300燒,IGBT炸,DU2和DU5擊穿","DR58炸,DR300燒毀,IGBT炸,DU2和DU5擊穿","上電無顯示,重新燒錄韌體後顯示正常","上電無顯示,重新燒錄韌體後顯示正常",J10槽內錫渣,J10槽內錫渣
"DR58炸,DR57和DC64燒,IGBT炸,DU2和DZD9擊穿","DR58炸,DR57和DC64燒毀,IGBT炸,DU2和DZD9擊穿",上電無顯示、DR1開裂損壞,"上電無顯示,DR1開裂損壞",J10錫渣短路,J10錫渣SHORT
"DR58炸,IGBTCOM對PIN11,12,14,15,16,17,21短路,PN對VW短路","DR58炸,IGBTCOM對PIN11,12,14,15,16,17,21SHORT,PN對VW SHORT",上電黑屏,上電無顯示,J11PIN2下陷,J11PIN2下陷
"DR58炸,IGBT炸","DR58炸,IGBT炸",上電跳閘,上電跳閘,J1處銅箔燒碳化,J1處銅箔燒碳化
"DR58炸,IGBT炸,","DR58炸,IGBT炸,",上電跳閘 需要檢測報告,上電跳閘 需要檢測報告,J5粘膠,J5粘膠
"DR58炸,IGBT炸,DD22,DD23擊穿","DR58炸,IGBT炸,DD22,DD23擊穿",上電過載,上電過載,J6 PIN2(DGND)與U21 PIN5(DGND)之間Open,J6 PIN2(DGND)與U21 PIN5(DGND)之間OPEN
"DR58炸,IGBT炸,DD22,DD23擊穿,DU2,DU5擊穿","DR58炸,IGBT炸,DD22,DD23擊穿,DU2,DU5擊穿","上電過壓,應該是燒壞了,顯示屏不亮","上電過壓,上電無顯示",J6 PIN2無線尾,J6 PIN2無線尾
"DR58炸,IGBT炸,DD22擊穿","DR58炸,IGBT炸,DD22擊穿","上電漏電開關跳閘,換新機沒有問題","上電漏電開關跳閘,換新機沒有問題",J610 PIN13和PIN15錫短,"J610 PIN13,PIN15錫短"
"DR58炸,IGBT炸,DR28燒","DR58炸,IGBT炸,DR28燒毀",上電數字顯示屏無顯示,上電無顯示,J610 PIN腳連錫,J610 PIN腳連錫
"DR58炸,IGBT炸,DR28燒壞","DR58炸,IGBT炸,DR28燒毀","上電檢查報警記錄,存在AL085報警",上電後報AL085,J610連錫,J610連錫
"DR58炸,IGBT炸,DU2擊穿","DR58炸,IGBT炸,DU2擊穿","上電顯示AL011,一段時間後ALCDB","上電後報AL011,ALCDB",J610無綫尾,J610無線尾
"DR58炸,IGBT炸,DU2擊穿,DR300、DR57、DC64也有燒壞","DR58炸,IGBT炸,DU2擊穿,DR300,DR57,DC64也有燒毀","上電顯示ASP B3按鍵無反應,再次上電後指示燈亮,屏無顯示","上電顯示ASP B3按鍵無反應,再次上電後指示燈亮,屏無顯示",J610損壞,J610損壞
"DR58炸,IGBT炸,DU5燒","DR58炸,IGBT炸,DU5燒毀",上電顯示DFU,上電顯示DFU,J610端口不良,J610端口不良
"DR58炸,IGBT炸,DU5擊穿,DU2擊穿","DR58炸,IGBT炸,DU5擊穿,DU2擊穿",上電顯示正常,上電顯示正常,J610銅箔損壞,J610銅箔損壞
"DR58炸,IGBT炸,整流子DD22,DD23擊穿,DD22PIN與HSK之間跳火","DR58炸,IGBT炸,整流子DD22,DD23擊穿,DD22PIN與HSK之間跳火","上電顯示正常,帶動馬達轉動正常","上電顯示正常,帶動馬達轉動正常",J610錫短,J610錫短
"DR58炸,IGBT炸,整流子DD22擊穿","DR58炸,IGBT炸,整流子DD22擊穿","上電顯示正常,帶動馬達轉動正常,報警AL3CF為參數設置問題","上電顯示正常,帶動馬達轉動正常,報警AL3CF為參數設置問題",J6焊錫不良,J6焊錫不良
"DR58炸,IGBT炸,整流子DD23、DD22擊穿,DU2擊穿","DR58炸,IGBT炸,整流子DD23,DD22擊穿,DU2擊穿",上電顯示正常、IPM下方存在金屬絲,上電顯示正常、IPM下方存在金屬絲,J6傾斜,J6傾斜
"DR58炸,IGBT炸,整流子擊穿","DR58炸,IGBT炸,整流子擊穿","上電顯示死機,重新上電無顯示","上電顯示死機,重新上電無顯示",J6端子CN2口開裂,J6端子CN2口開裂
"DR58炸,IGBT損壞,與整流子相連銅箔熔斷","DR58炸,IGBT損壞,與整流子相連銅箔熔斷",上電顯示屏不亮,上電無顯示,J6撞壞,J6撞壞
"DR58炸,IGBT損壞,整流子擊穿","DR58炸,IGBT損壞,整流子擊穿","上蓋L1L2輸入線有跳火痕跡,DR1 open,DD1擊穿","上蓋L1L2輸入線有跳火痕跡,DR1 open,DD1擊穿",L1 L2/USB上電面板一直閃爍顯示Read only,"L1,L2,USB上電面板一直閃爍顯示Read only"
"DR58炸,IGBT擊穿","DR58炸,IGBT擊穿",上蓋脫離,上蓋脫離,L1、L2輸入過壓,"L1,L2輸入過壓"
"DR58炸,IGBT擊穿,DZD6擊穿,整流子DD22擊穿,附近銅箔燒斷","DR58炸,IGBT擊穿,DZD6擊穿,整流子DD22擊穿,附近銅箔燒毀斷",上機後冒烟,上機後冒烟,L1C相端子螺絲損壞,L1C端子螺絲損壞
"DR58炸,IGBT擊穿,軟起電阻炸","DR58炸,IGBT擊穿,軟起電阻炸",上鍵損壞,UP按鍵損壞,L1c漏焊,L1C漏焊
"DR58炸,IGBT擊穿,整流子打火","DR58炸,IGBT擊穿,整流子打火",下針軸報警AL016,下針軸報警AL016,L1c端子內部螺紋損壞,LC端子內部螺紋損壞
"DR58炸,IGBT擊穿,整流子擊穿","DR58炸,IGBT擊穿,整流子擊穿",下載程序會黑屏,下載程序會黑屏,L1C端子螺絲損壞,L1C端子螺絲損壞
"DR58炸,軟起電阻DR28過熱,IGBT P對UVW open,N對UVW短路,控制側壞","DR58炸,軟起電阻DR28過熱,IGBT,P對UVW,OPEN,N對UVW SHORT,控制側壞",下鍵失效其他按鍵不靈,"DOWN按鍵失效,其他按鍵不靈",L1L2上電面板無顯示,L1L2上電面板無顯示
"DR58炸,整流子擊穿,IGBT炸裂","DR58炸,整流子擊穿,IGBT炸",大量金屬粉污染,大量金屬絲,L1相端子螺絲損壞,L1端子螺絲損壞
"DR58炸,整流子擊穿,IGBT損壞","DR58炸,整流子擊穿,IGBT損壞",大量金屬絲,大量金屬絲,L2c包焊,L2C包焊
DR58炸、DR300燒、IGBT炸、DU2和DU5擊穿,"DR58炸,DR300燒毀,IGBT炸,DU2和DU5擊穿",大電容DC82鼓包,大電容DC82鼓包,L2c相端子螺絲損壞,L2C端子螺絲損壞
DR58炸、DR300燒壞、IGBT炸、DU2擊穿,"DR58炸,DR300燒毀,IGBT炸,DU2擊穿",工作中有時報警RL003,AL003,L2c端子內部螺紋損壞,L2C端子內部螺紋損壞
DR58炸、IGBT炸,"DR58炸,IGBT炸",不上電,不上電,L2C端子螺母滑絲,L2C端子螺母滑絲
DR58炸、IGBT炸、DQ2擊穿,"DR58炸,IGBT炸,DQ2擊穿",不工作,無法正常作業,L2C端子螺絲無法旋入旋出,L2C端子螺絲無法旋入旋出
DR58炸、IGBT炸、DU2擊穿,"DR58炸,IGBT炸,DU2擊穿",不良,無法正常作業,L2C螺絲受外力損壞,L2C螺絲受外力損壞
DR58炸、IGBT炸、DU2擊穿、DR300燒、DD22擊穿,"DR58炸,IGBT炸,DU2擊穿,DR300燒毀,DD22擊穿",不使能,無法正常作業,L2相端子螺絲損壞,L2端子螺絲損壞
DR58炸、IGBT擊穿,"DR58炸,IGBT擊穿",不定時報 AL001,AL001,L2端子螺絲卡死損壞,L2端子螺絲損壞
DR58炸、IGBT擊穿、DD22擊穿、DR300燒壞,"DR58炸,IGBT擊穿,DD22擊穿,DR300燒毀",不定時報警AL011,AL011,L42電感損壞,L42電感損壞
DR58炸、IGBT擊穿、DPH2燒,"DR58炸,IGBT擊穿,DPH2燒毀",不亮,無法正常作業,L611線圈斷,L611線圈斷
"DR58炸、IGBT擊穿、DR37,DR41燒、DD22,DD23整流子擊穿、","DR58炸,IGBT擊穿,DR37,DR41燒毀,DD22,DD23整流子擊穿,",不亮燈,無法正常作業,L612損壞,L612損壞
DR58炸、IGBT擊穿、整流子擊穿,"DR58炸,IGBT擊穿,整流子擊穿","不能正常工作,螺絲滑牙無法鎖定","無法正常作業,螺絲滑牙",MODE、DOWN、SET、SHIFT按鍵缺失,"MODE,DOWN,SET,SHIFT按鍵缺失"
DR58炸、IGBT擊穿、整流子擊穿、RS相銅箔炸、DR24燒,"DR58炸,IGBT擊穿,整流子擊穿,RS相銅箔炸,DR24燒毀",不能正常使用,無法正常作業,mode按鍵損毀,MODE按鍵損毀
DR58炸、IGBT擊穿、整流子擊穿、剎車晶體擊穿,"DR58炸,IGBT擊穿,整流子擊穿,剎車晶體擊穿",不能輸程序進去,不能輸程序進去,Mode按鍵損壞,MODE按鍵損毀
"DR58炸、整流子擊穿、IGBT擊穿、銅箔炸,5VD_GD短路、L1L2上電無顯示","DR58炸,整流子擊穿,IGBT擊穿,銅箔炸,5VD_GD SHORT,L1L2上電無顯示",不能翻轉,不能翻轉,MODE鍵缺失,MODE按鍵缺失
"DR58炸裂,IGBT炸,DC54與V相端子跳火","DR58炸,IGBT炸,DC54與V相端子跳火",不通訊,不通訊,MODE鍵脫落,MODE按鍵缺失
"DR58炸裂,IGBT炸裂","DR58炸,IGBT炸",不通電,不通電,MODE鍵損壞,MODE按鍵損毀
"DR58炸裂,IGBT炸裂,DD22擊穿","DR58炸,IGBT炸,DD22擊穿",不通電 無顯示,不通電,mode鍵損壞，R相端子螺絲損壞,"MODE按鍵損壞,R相端子螺絲損壞"
"DR58炸裂,IGBT炸裂,DD23 DD22 擊穿","DR58炸,IGBT炸,DD23,DD22,擊穿","不通電,屏幕不顯示",不通電,MODE鍵損壞掉落,MODE按鍵損毀
"DR58炸裂,IGBT炸裂,DD23 T處銅箔熔斷,T對P擊穿,DD22 RS對N擊穿","DR58炸,IGBT炸,DD23,T處銅箔熔斷,T對P擊穿,DD22,RS對N擊穿","不通電,報警代碼9F",AL09F,MODE鍵斷,MODE按鍵斷裂
"DR58炸裂,IGBT炸裂,DU2,DU5擊穿","DR58炸,IGBT炸,DU2,DU5擊穿","不通電,插電沒反應",不通電,"MODE鍵斷,SHIFT按鍵斷","MODE按鍵斷裂,SHIFT按鍵斷裂"
"DR58炸裂,IGBT炸裂,PIN腳有打火痕跡","DR58炸,IGBT炸,PIN腳有打火痕跡","不通電,無動作",不通電,NA,NA
"DR58炸裂,IGBT炸裂,VW對PE擊穿,VW之間擊穿","DR58炸,IGBT炸,VW對PE擊穿,VW之間擊穿","不通電,顯屏不亮",不通電,"N-C-D之間打火，IGBT擊穿，DD22擊穿，回生電阻OPEN,DRLY1短路","N-C-D之間打火,IGBT擊穿,DD22擊穿,回生電阻OPEN,DRLY1 SHORT"
"DR58炸裂,IGBT擊穿","DR58炸,IGBT擊穿","不通電,AL006","不通電,AL006",NDF,NDF
"DR58炸裂,整流子DD23,DD22擊穿,IGBT 炸裂","DR58炸,整流子DD23,DD22擊穿,IGBT,炸",不通電不顯示,"不通電,無顯示",No Defect Found,No Defect Found
"DR58損壞,IGBT VW對P擊穿","DR58損壞,IGBT,VW對P擊穿",不報警導致伺服抖動換驅動器就沒問題,"不報警導致伺服抖動,換驅動器可解決",N對RS短路,N對RS SHORT
"DR58損壞,IGBT V下橋擊穿UW上橋擊穿","DR58損壞,IGBT,V下橋擊穿UW上橋擊穿",不顯示,無顯示,OA/OB/OZ對GND阻抗异常,"OA,OB,OZ對GND阻抗异常"
"DR58損壞,IGBT 炸裂","DR58損壞,IGBT,炸裂","不顯示? Y軸、上電伺服啓動异常、燒壞無顯示、通電不亮屏、通電跳閘、有輸入,無輸出、找不到站點"," Y軸,上電伺服啓動異常,燒壞無顯示,通電不亮屏,通電跳閘,有輸無輸出,找不到站點",OAOBOZ波形正常,"OA,OB,OZ波形正常"
"DR58損壞,IGBT模塊U相上橋直通,UVW下橋直通","DR58損壞,IGBT模塊U相上橋直通,UVW下橋直通",仍然報警AL001,AL001,OAOBOZ信號無輸出,"OA,OB,OZ信號無輸出"
"DR58電阻炸、IGBT擊穿、DD22,DD23整流擊穿","DR58電阻炸,IGBT擊穿,DD22,DD23整流擊穿","內建回生電阻open,過壓533V,回生電阻參數設定异常P1-52=750,P1-53=15000","內建回生電阻open,過壓533V,回生電阻參數設定异常P1-52=750,P1-53=15000",OAOBOZ無輸出,"OA,OB,OZ信號無輸出"
DR58電阻炸、IGBT擊穿、DD22整流擊穿,"DR58電阻炸,IGBT擊穿,DD22整流擊穿","內部不明液體腐蝕嚴重,R銅箔打火","內部不明液體腐蝕嚴重,R銅箔打火",P1-01參數設置錯誤,P1-01參數設置異常
"DR58電阻炸、IGBT擊穿、DD22整流擊穿、DR37,DD14,DZD3,DC41損壞","DR58電阻炸,IGBT擊穿,DD22整流擊穿,DR37,DD14,DZD3,DC41損壞","內部有金屬絲掉落,變壓器底部打火,DR28燒","內部有金屬絲掉落,變壓器底部打火,DR28燒",P1-37參數設置異常,P1-37參數設置異常
"DR58電阻炸、IGBT擊穿、DU2,DU5短路","DR58電阻炸,IGBT擊穿,DU2,DU5 SHORT","內部有粉塵,軟起電阻燒壞,relay融損刹車晶體CE擊穿","內部有粉塵,軟起電阻燒壞,relay融損刹車晶體CE擊穿",PCB孔徑不符規格，插件難插導致容易折脚,"PCB孔徑不符規格,插件難插導致容易折脚"
"DR58燒,DD22擊穿,IGBT擊穿","DR58燒毀,DD22擊穿,IGBT擊穿","內部有液體從安裝面上方進入伺服內部,DR58,DR42,DR57,DC64損壞,3.3V低阻抗","內部有液體從安裝面上方進入伺服內部,DR58,DR42,DR57,DC64損壞,3.3V低阻抗",PH20/PH21為W1934週TLP2366批量品質問題光耦,"PH20,PH21為W1934週TLP2366批量品質問題光耦"
"DR58燒毀,IGBT PIN脚熔斷","DR58燒毀,IGBT,PIN脚熔斷","內部污染,IGBT炸毀嚴重","內部污染,IGBT炸毀嚴重",PIN30 外漏,PIN30 外漏
"DR58燒毀,附近銅箔損壞,IGBT炸,DQ2擊穿,DD22和DD23擊穿","DR58燒毀,附近銅箔損壞,IGBT炸,DQ2擊穿,DD22和DD23擊穿","內部灰塵很多,DR28損壞","內部污染,DR28損壞",Pluse Output電路接綫异常,PULSE OUTPUT電路接線異常
"DR58燒毀,附近銅箔翹皮,IGBT炸,DQ2擊穿,MODE鍵斷裂","DR58燒毀,附近銅箔翹皮,IGBT炸,DQ2擊穿,MODE鍵斷裂","內部油污,IGBT PIN12對COM短路","內部油污腐蝕,IGBT PIN12對COM短路",PN對R OPEN.N對T短路,PN對R OPEN.N對TSHORT
"DR58燒壞,DR1 OPEN,R通道銅箔熔斷,IGBT銅底板燒穿,DD22,DD23擊穿","DR58燒毀,DR1,OPEN,R通道銅箔熔斷,IGBT銅底板燒毀穿,DD22,DD23擊穿","內部油污腐蝕,SPS電路DR1open,DD1擊穿,DU1損壞","內部油污腐蝕,SPS電路DR1open,DD1擊穿,DU1損壞",PULSE INPUT電路限流電阻燒,PULSE INPUT電路限流電阻燒
"DR58燒壞,IGBT擊穿","DR58燒毀,IGBT擊穿",內部金屬屑,內部金屬粉塵污染,Pulse Input電路接綫异常,PULSE INPUT電路接線異常
DRLY2處錫渣短路,DRLY2處錫渣SHORT,"內部金屬粉塵污染,DQ2燒","內部金屬粉塵污染,DQ2燒","pulse output電路U25燒壞，R205阻值變大,電源系統全部擊穿","PULSE OUTPUT電路U25燒毀,R205阻值變大,電源系統全部擊穿"
"DSP、L1、軟起電阻燒壞,刹車電阻開路","DSP,L1,軟起電阻燒毀,刹車電阻開路","內部粉塵污染嚴重,上電顯示正常但連接馬達時常報警AL011","內部金屬粉塵污染,上電顯示正常但連接馬達時常報警AL011",PULSE功能測試不過,PULSE功能測試不過
DSP污染,DSP污染,"內部金屬粉塵污染+A1361:A1380,上電顯示正常但連接馬達時常報警AL011","內部金屬粉塵污染+A1361:A1380,上電顯示正常但連接馬達時常報警AL011",pulse輸入伺服無動作,PULSE輸入伺服無動作
DSP材料不良DSP_CLK腳位阻抗變異,DSP材料不良DSP_CLK腳位阻抗變異,"內部參數參數檢查P1-01=1,未使用通訊模式","內部參數參數檢查P1-01=1,未使用通訊模式",P相端子螺絲損壞,P端子_螺絲損毀
"DSP材料不良産綫維修未攔截,二次流出","DSP材料不良産綫維修未攔截,二次流出",內部短路,內部SHORT,P對HSK低阻抗30.8Ω，N對HSK130.9Ω,"P對HSK低阻抗30.8Ω,N對HSK130.9Ω"
"DSP問題,DSP_CLK腳位低阻抗","DSP問題,DSP_CLK腳位低阻抗",內部進水,內部進水,P對RS open，對T短路，N對RS,"P對RS OPEN,對TSHORT,N對RS"
DSP短路,DSP SHORT,"內部進水,DD22、DD23打火","內部進水,DD22,DD23打火",P對RS短路,P對RS SHORT
DSP黑屏問題,DSP黑屏問題,"內部進水,IGBT、DD23打火","內部進水,IGBT,DD23打火",P對SUVW短路，N對R短路,"P對SUVW SHORT,N對R SHORT"
DSP燒壞,DSP燒毀,"內部進水腐蝕,剎車晶體DQ2擊穿,回生電阻燒","內部進水腐蝕,剎車晶體DQ2擊穿,回生電阻燒","P對UVW open,N對RS 短路，對UVWopen","P對UVW OPEN,N對RS SHORT,對UVWOPEN"
